"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,1659
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,1660
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,1661
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,1664
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,1670
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,1672
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,1673
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,1677
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,1679
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,1681
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,1687
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,1689
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,1690
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1693
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,1694
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,1697
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,1698
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,1701
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,1702
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,1706
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,1708
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,1710
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,1712
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,1715
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,1718
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,1719
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,1722
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,1724
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,1725
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,1727
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,1729
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,1730
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,1737
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6,1738
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,1740
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,1741
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,1743
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6,1748
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,1750
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,1756
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,1758
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,1764
8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,1765
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,1766
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6,1780
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,1783
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,1785
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,1786
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6,1789
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,1792
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,1793
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,1794
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6,1808
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,1811
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,1812
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,1814
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,1818
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,1820
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6,1821
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,1822
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,1825
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,1826
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,1827
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,1829
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,1830
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,1837
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,1838
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6,1842
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,1843
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6,1845
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6,1847
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,1850
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,1851
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,1852
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6,1853
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6,1855
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6,1856
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6,1857
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6,1859
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6,1861
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,1863
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,1864
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6,1865
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,1867
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6,1870
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,6,1871
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,1873
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,1881
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,1882
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,1883
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6,1890
7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,6,1894
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6,1898
7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,6,1900
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6,1905
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6,1907
7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,1908
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,1910
7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6,1913
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6,1914
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,6,1915
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,1920
6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,1921
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6,1924
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6,1926
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,1930
6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6,1931
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6,1934
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6,1937
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,1938
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,1941
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6,1942
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6,1944
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6,1948
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,1949
6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6,1950
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,1956
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6,1959
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6,1970
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,1973
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,1974
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6,1977
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,1981
6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6,1989
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,1990
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6,1992
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,1993
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6,1995
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6,1996
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6,1997
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,1999
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,2001
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,2002
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,2003
7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,2006
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6,2008
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6,2009
8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,2010
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,2012
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6,2013
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,2017
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,2018
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,2020
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,2021
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,2023
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,2027
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,2029
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,2033
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,2036
6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,2038
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,2040
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,2041
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,2042
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,2045
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6,2050
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6,2054
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,2057
6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6,2058
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6,2060
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,2063
7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,6,2066
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,2073
6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6,2076
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,2077
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,2080
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,2081
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,2083
6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6,2084
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,2085
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,2087
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,2092
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,2094
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,2096
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6,2097
6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,6,2100
6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6,2101
6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,2102
6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6,2103
5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6,2106
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,2113
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,2118
7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6,2119
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,2120
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6,2121
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,2125
6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6,2126
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,2128
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,2131
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6,2132
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,2134
9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6,2135
7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6,2136
7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6,2143
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,2144
7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6,2145
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,2146
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,2154
6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,6,2155
7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6,2156
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6,2158
8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6,2160
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,2163
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,2165
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6,2168
9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6,2173
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,2174
5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6,2178
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6,2185
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6,2192
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,2193
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,2199
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,2201
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,2205
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,2206
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6,2207
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6,2210
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,2213
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,2216
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,2217
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6,2218
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,2219
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6,2221
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6,2225
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,2236
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,2239
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,2241
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6,2244
7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6,2245
6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6,2247
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,2250
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6,2252
6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6,2262
6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6,2263
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,2264
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6,2268
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6,2276
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6,2277
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6,2278
7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6,2280
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,2281
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6,2282
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6,2285
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6,2292
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6,2293
6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6,2294
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6,2300
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6,2302
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6,2306
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,2312
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,2317
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,2324
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6,2326
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,2328
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,2329
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6,2331
9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6,2334
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,2335
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,2336
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,2341
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,2342
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6,2344
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6,2346
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6,2347
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6,2348
8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6,2349
6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6,2354
6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6,2355
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,2359
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6,2361
6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,6,2363
6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6,2364
7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,2369
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,2370
5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6,2371
7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,6,2372
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6,2373
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6,2374
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6,2379
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,2380
6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6,2384
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,2386
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6,2389
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,2392
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,2393
6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,2394
8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6,2395
7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6,2396
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6,2397
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6,2399
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6,2400
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,2404
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,2409
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,2411
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,2412
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,2414
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6,2417
7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,2419
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6,2425
8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6,2431
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,2433
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6,2439
7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,2440
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6,2443
6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6,2444
7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6,2445
8,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6,2447
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6,2448
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,2453
